drug,n_total,n_young,n_old,n_hosp_young,n_hosp_old,rate_hosp_young,rate_hosp_old,age_ratio,ci_lower,ci_upper
DUPILUMAB,20777,6557,631,168,114,0.0256,0.1807,7.05,5.64,8.82
USTEKINUMAB,446,156,7,22,5,0.141,0.7143,5.06,2.76,9.3
GOLIMUMAB,697,114,14,23,11,0.2018,0.7857,3.89,2.47,6.15
VEDOLIZUMAB,3531,1322,88,219,44,0.1657,0.5,3.02,2.37,3.84
VENLAFAXINE HYDROCHLORIDE,320,134,10,40,9,0.2985,0.9,3.02,2.16,4.2
EFANESOCTOCOG ALFA,156,109,3,15,2,0.1376,0.6667,4.84,1.92,12.25
ESKETAMINE,654,312,3,47,2,0.1506,0.6667,4.43,1.91,10.28
LETROZOLE,290,31,12,6,9,0.1935,0.75,3.88,1.76,8.53
LACOSAMIDE,149,68,8,17,6,0.25,0.75,3,1.69,5.33
ARIPIPRAZOLE,506,298,5,91,4,0.3054,0.8,2.62,1.64,4.19
SERTRALINE HYDROCHLORIDE,632,340,42,76,21,0.2235,0.5,2.24,1.56,3.21
OXALIPLATIN,606,64,6,21,5,0.3281,0.8333,2.54,1.54,4.19
MIRTAZAPINE,253,68,23,14,13,0.2059,0.5652,2.75,1.52,4.95
LEVETIRACETAM,654,308,13,79,8,0.2565,0.6154,2.4,1.5,3.84
ADALIMUMAB-AATY,202,51,4,5,2,0.098,0.5,5.1,1.41,18.45
TOFACITINIB CITRATE,770,58,12,4,4,0.069,0.3333,4.83,1.4,16.68
BUDESONIDE,342,114,7,13,3,0.114,0.4286,3.76,1.39,10.18
QUETIAPINE,403,174,11,74,9,0.4253,0.8182,1.92,1.39,2.67
METRONIDAZOLE,168,63,6,15,4,0.2381,0.6667,2.8,1.37,5.74
MORPHINE SULFATE,193,79,8,19,5,0.2405,0.625,2.6,1.34,5.05
METHOTREXATE,991,211,30,76,19,0.3602,0.6333,1.76,1.27,2.44
PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,152,39,10,21,9,0.5385,0.9,1.67,1.17,2.39
IOHEXOL,121,25,4,7,3,0.28,0.75,2.68,1.15,6.24
FLUOXETINE HYDROCHLORIDE,247,150,7,57,5,0.38,0.7143,1.88,1.13,3.13
DURVALUMAB,500,20,7,3,4,0.15,0.5714,3.81,1.12,12.97
TRAMADOL,250,127,9,33,5,0.2598,0.5556,2.14,1.11,4.11
LEVOFLOXACIN,195,36,17,16,13,0.4444,0.7647,1.72,1.1,2.7
AMOXICILLIN,257,55,18,24,13,0.4364,0.7222,1.66,1.09,2.51
TEZEPELUMAB-EKKO,150,25,3,5,2,0.2,0.6667,3.33,1.09,10.22
LEVOTHYROXINE,102,24,5,9,4,0.375,0.8,2.13,1.08,4.2
ETANERCEPT,548,61,26,9,9,0.1475,0.3462,2.35,1.05,5.23
OXCARBAZEPINE,53,24,3,5,2,0.2083,0.6667,3.2,1.05,9.78
FLUCONAZOLE,159,65,7,26,5,0.4,0.7143,1.79,1.02,3.11
EPINEPHRINE,89,39,6,20,5,0.5128,0.8333,1.63,1.01,2.6
IBUPROFEN,744,354,25,163,16,0.4605,0.64,1.39,1.01,1.9
MEPOLIZUMAB,520,45,26,12,13,0.2667,0.5,1.88,1.01,3.48
SPIRONOLACTONE,140,26,14,5,7,0.1923,0.5,2.6,1.01,6.7
RISPERIDONE,351,161,19,45,9,0.2795,0.4737,1.69,0.99,2.89
TISLELIZUMAB,693,40,5,19,4,0.475,0.8,1.68,0.98,2.91
LENALIDOMIDE,4203,79,345,9,73,0.1139,0.2116,1.86,0.97,3.55
IPILIMUMAB,497,22,21,5,11,0.2273,0.5238,2.3,0.96,5.51
HUMAN IMMUNOGLOBULIN G,1251,230,40,58,15,0.2522,0.375,1.49,0.94,2.35
TREPROSTINIL,895,124,27,54,16,0.4355,0.5926,1.36,0.94,1.97
ADALIMUMAB,1479,467,18,185,10,0.3961,0.5556,1.4,0.91,2.15
FUROSEMIDE,244,26,59,10,35,0.3846,0.5932,1.54,0.91,2.62
AVAPRITINIB,624,104,9,6,2,0.0577,0.2222,3.85,0.91,16.39
BEVACIZUMAB,702,95,19,19,7,0.2,0.3684,1.84,0.9,3.76
HYDROCORTISONE,118,40,5,21,4,0.525,0.8,1.52,0.9,2.58
DULOXETINE,110,30,8,10,5,0.3333,0.625,1.88,0.9,3.92
RIVAROXABAN,449,31,55,9,26,0.2903,0.4727,1.63,0.88,3.02
UPADACITINIB,2776,533,59,226,29,0.424,0.4915,1.16,0.88,1.53
OLANZAPINE,457,222,9,107,6,0.482,0.6667,1.38,0.85,2.24
DASATINIB,181,44,9,9,4,0.2045,0.4444,2.17,0.85,5.53
SEMAGLUTIDE,2119,408,17,161,9,0.3946,0.5294,1.34,0.84,2.13
METHYLPREDNISOLONE,175,47,4,22,3,0.4681,0.75,1.6,0.84,3.05
ATEZOLIZUMAB,556,21,13,4,6,0.1905,0.4615,2.42,0.84,6.99
GEMCITABINE,242,14,4,1,2,0.0714,0.5,7,0.83,58.78
BRIVARACETAM,138,50,3,17,2,0.34,0.6667,1.96,0.81,4.77
OCTREOTIDE,99,18,8,6,5,0.3333,0.625,1.88,0.8,4.37
RIOCIGUAT,141,18,7,8,5,0.4444,0.7143,1.61,0.8,3.23
ABALOPARATIDE,6296,65,218,2,22,0.0308,0.1009,3.28,0.79,13.58
METFORMIN HYDROCHLORIDE,1063,120,59,67,34,0.5583,0.5763,1.03,0.79,1.35
CLINDAMYCIN,55,11,4,4,3,0.3636,0.75,2.06,0.79,5.41
ALPRAZOLAM,310,172,11,50,5,0.2907,0.4545,1.56,0.79,3.11
ESCITALOPRAM OXALATE,200,87,10,19,4,0.2184,0.4,1.83,0.78,4.31
POMALIDOMIDE,2117,34,194,4,46,0.1176,0.2371,2.02,0.78,5.24
DAPTOMYCIN,230,34,17,15,10,0.4412,0.5882,1.33,0.77,2.31
PREDNISOLONE,410,132,20,53,10,0.4015,0.5,1.25,0.77,2.02
FREMANEZUMAB-VFRM,197,81,3,6,1,0.0741,0.3333,4.5,0.76,26.58
MYCOPHENOLATE MOFETIL,882,281,18,115,9,0.4093,0.5,1.22,0.75,1.98
TENAPANOR HYDROCHLORIDE,189,36,8,10,4,0.2778,0.5,1.8,0.75,4.3
APIXABAN,1273,80,210,28,78,0.35,0.3714,1.06,0.75,1.5
PREDNISONE,945,238,32,119,17,0.5,0.5313,1.06,0.75,1.51
ECULIZUMAB,165,71,3,27,2,0.3803,0.6667,1.75,0.75,4.12
CARBAMAZEPINE,236,79,6,39,4,0.4937,0.6667,1.35,0.74,2.48
RITUXIMAB-PVVR,310,58,9,15,4,0.2586,0.4444,1.72,0.73,4.02
PAROXETINE,142,65,7,25,4,0.3846,0.5714,1.49,0.73,3.03
RISANKIZUMAB-RZAA,3359,668,76,204,24,0.3054,0.3158,1.03,0.73,1.47
OXYCODONE HYDROCHLORIDE,464,217,12,43,4,0.1982,0.3333,1.68,0.72,3.91
LENVATINIB,485,12,10,8,8,0.6667,0.8,1.2,0.72,1.99
CERTOLIZUMAB PEGOL,926,419,9,75,3,0.179,0.3333,1.86,0.72,4.8
ZOLPIDEM TARTRATE,253,96,23,24,8,0.25,0.3478,1.39,0.72,2.69
TEZEPELUMAB,124,25,3,9,2,0.36,0.6667,1.85,0.71,4.82
VALACYCLOVIR HYDROCHLORIDE,138,27,10,16,7,0.5926,0.7,1.18,0.71,1.97
DOXYCYCLINE,242,69,9,19,4,0.2754,0.4444,1.61,0.71,3.68
VANCOMYCIN,298,83,14,69,11,0.8313,0.7857,0.95,0.71,1.26
MACITENTAN,146,20,3,7,2,0.35,0.6667,1.9,0.7,5.17
CIPROFLOXACIN,325,94,19,31,8,0.3298,0.4211,1.28,0.7,2.33
ACETAMINOPHEN,1719,571,80,315,39,0.5517,0.4875,0.88,0.7,1.12
SELEXIPAG,104,5,6,1,5,0.2,0.8333,4.17,0.7,24.94
TEDUGLUTIDE,352,62,5,45,4,0.7258,0.8,1.1,0.69,1.75
PEMBROLIZUMAB,1962,147,76,65,32,0.4422,0.4211,0.95,0.69,1.31
DARATUMUMAB,258,17,10,7,6,0.4118,0.6,1.46,0.68,3.12
AMOXICILLIN\CLAVULANIC ACID,111,28,10,13,6,0.4643,0.6,1.29,0.68,2.46
AMIODARONE,191,11,17,4,10,0.3636,0.5882,1.62,0.67,3.89
MAVACAMTEN,462,21,34,5,13,0.2381,0.3824,1.61,0.67,3.86
HUMAN C1-ESTERASE INHIBITOR,199,106,6,34,3,0.3208,0.5,1.56,0.67,3.64
FERRIC DERISOMALTOSE,39,23,4,5,2,0.2174,0.5,2.3,0.66,8.03
RUXOLITINIB,1128,94,127,17,26,0.1809,0.2047,1.13,0.65,1.96
VENETOCLAX,982,49,42,27,22,0.551,0.5238,0.95,0.65,1.39
NITROFURANTOIN,40,10,6,4,4,0.4,0.6667,1.67,0.65,4.3
DABIGATRAN,32,4,9,1,8,0.25,0.8889,3.56,0.64,19.72
ABATACEPT,1765,213,51,25,8,0.1174,0.1569,1.34,0.64,2.79
SACUBITRIL\VALSARTAN,249,14,52,4,23,0.2857,0.4423,1.55,0.64,3.74
PREGABALIN,498,202,33,63,11,0.3119,0.3333,1.07,0.63,1.81
AMIFAMPRIDINE PHOSPHATE,284,38,17,2,3,0.0526,0.1765,3.35,0.62,18.27
TICAGRELOR,141,7,6,6,5,0.8571,0.8333,0.97,0.61,1.55
AMOXICILLIN\CLAVULANATE POTASSIUM,91,14,9,3,4,0.2143,0.4444,2.07,0.6,7.17
VALSARTAN,75,4,12,1,10,0.25,0.8333,3.33,0.6,18.54
ALLOPURINOL,145,15,21,11,14,0.7333,0.6667,0.91,0.59,1.4
LIDOCAINE,175,79,9,40,5,0.5063,0.5556,1.1,0.59,2.05
BISOPROLOL,77,14,13,4,6,0.2857,0.4615,1.62,0.59,4.46
TIRZEPATIDE,12890,2366,75,300,10,0.1268,0.1333,1.05,0.58,1.89
HEPARIN SODIUM,146,7,7,1,4,0.1429,0.5714,4,0.58,27.41
RITUXIMAB,1429,381,23,128,8,0.336,0.3478,1.04,0.58,1.84
PANTOPRAZOLE,279,62,16,31,8,0.5,0.5,1,0.58,1.73
TOLVAPTAN,542,215,11,18,2,0.0837,0.1818,2.17,0.57,8.21
CANDESARTAN CILEXETIL,66,4,10,1,8,0.25,0.8,3.2,0.57,17.97
GABAPENTIN,592,144,13,47,5,0.3264,0.3846,1.18,0.57,2.44
ROSUVASTATIN,308,14,16,4,7,0.2857,0.4375,1.53,0.56,4.15
ERENUMAB-AOOE,319,118,4,38,2,0.322,0.5,1.55,0.56,4.28
FAMOTIDINE,90,19,6,6,3,0.3158,0.5,1.58,0.56,4.47
CEFTRIAXONE,50,14,5,6,3,0.4286,0.6,1.4,0.55,3.57
LISINOPRIL,171,16,4,4,2,0.25,0.5,2,0.55,7.31
METOPROLOL,98,23,5,11,3,0.4783,0.6,1.25,0.55,2.89
AVACOPAN,560,51,31,46,20,0.902,0.6452,0.72,0.54,0.94
FULVESTRANT,226,13,14,2,5,0.1538,0.3571,2.32,0.54,9.95
TEPROTUMUMAB-TRBW,62,11,2,1,1,0.0909,0.5,5.5,0.54,56.34
LINEZOLID,358,72,26,30,10,0.4167,0.3846,0.92,0.53,1.61
DONEPEZIL,57,6,14,3,9,0.5,0.6429,1.29,0.53,3.13
DULOXETINE HYDROCHLORIDE,113,27,6,10,3,0.3704,0.5,1.35,0.53,3.45
MORPHINE,49,15,4,4,2,0.2667,0.5,1.88,0.52,6.81
FENOFIBRATE,61,10,4,2,2,0.2,0.5,2.5,0.51,12.14
MEROPENEM,136,33,16,18,8,0.5455,0.5,0.92,0.51,1.64
NIVOLUMAB,951,83,26,26,8,0.3133,0.3077,0.98,0.51,1.9
MELOXICAM,39,4,4,1,3,0.25,0.75,3,0.5,17.95
MONTELUKAST SODIUM,52,24,3,2,1,0.0833,0.3333,4,0.5,31.98
DENOSUMAB,495,26,83,6,21,0.2308,0.253,1.1,0.5,2.42
IRBESARTAN,68,5,6,2,4,0.4,0.6667,1.67,0.5,5.61
UBROGEPANT,55,10,2,1,1,0.1,0.5,5,0.49,50.83
INFLIXIMAB,1826,798,17,228,5,0.2857,0.2941,1.03,0.49,2.17
LANSOPRAZOLE,161,25,16,11,7,0.44,0.4375,0.99,0.49,2.02
VORICONAZOLE,173,24,4,8,2,0.3333,0.5,1.5,0.48,4.65
ABEMACICLIB,816,97,11,9,2,0.0928,0.1818,1.96,0.48,7.94
EMPAGLIFLOZIN,408,31,38,20,18,0.6452,0.4737,0.73,0.48,1.12
LEUPROLIDE ACETATE,335,21,51,8,18,0.381,0.3529,0.93,0.48,1.79
PALBOCICLIB,693,27,49,4,10,0.1481,0.2041,1.38,0.48,3.98
FOSCARBIDOPA\FOSLEVODOPA,1195,12,45,7,22,0.5833,0.4889,0.84,0.48,1.47
NINTEDANIB,519,7,37,1,16,0.1429,0.4324,3.03,0.48,19.29
HUMAN IMMUNOGLOBULIN G\HYALURONIDASE (HUMAN RECOMBINANT),250,49,6,22,3,0.449,0.5,1.11,0.47,2.63
CYCLOPHOSPHAMIDE,312,76,3,48,2,0.6316,0.6667,1.06,0.47,2.39
SECUKINUMAB,755,319,11,162,5,0.5078,0.4545,0.9,0.46,1.73
CLOPIDOGREL BISULFATE,297,12,37,9,20,0.75,0.5405,0.72,0.46,1.12
ESOMEPRAZOLE,112,27,4,10,2,0.3704,0.5,1.35,0.45,4.04
CEPHALEXIN,93,31,6,6,2,0.1935,0.3333,1.72,0.45,6.58
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE,418,51,9,34,5,0.6667,0.5556,0.83,0.45,1.54
INSULIN ASPART,218,29,10,16,5,0.5517,0.5,0.91,0.45,1.83
BENRALIZUMAB,375,33,18,11,6,0.3333,0.3333,1,0.44,2.25
POTASSIUM CHLORIDE,29,6,8,1,4,0.1667,0.5,3,0.44,20.44
CYCLOSPORINE,624,142,22,43,6,0.3028,0.2727,0.9,0.44,1.86
PANCRELIPASE AMYLASE\PANCRELIPASE LIPASE\PANCRELIPASE PROTEASE,804,58,34,32,13,0.5517,0.3824,0.69,0.43,1.13
THALIDOMIDE,99,16,8,1,2,0.0625,0.25,4,0.42,37.78
ETHIODIZED OIL,190,29,6,6,2,0.2069,0.3333,1.61,0.42,6.14
IBRUTINIB,477,6,47,2,21,0.3333,0.4468,1.34,0.41,4.34
ZOLEDRONIC ACID,411,33,38,10,10,0.303,0.2632,0.87,0.41,1.82
FOSTAMATINIB DISODIUM,50,5,5,2,3,0.4,0.6,1.5,0.41,5.45
DABRAFENIB MESYLATE,49,4,3,1,2,0.25,0.6667,2.67,0.41,17.42
LOSARTAN,178,22,6,11,3,0.5,0.5,1,0.41,2.47
CLINDAMYCIN PHOSPHATE,23,8,2,1,1,0.125,0.5,4,0.4,39.83
BIMEKIZUMAB,557,182,2,56,1,0.3077,0.5,1.63,0.4,6.61
ENFORTUMAB VEDOTIN-EJFV,313,7,15,3,7,0.4286,0.4667,1.09,0.4,3
FLUOROURACIL,337,43,9,22,4,0.5116,0.4444,0.87,0.4,1.91
OSELTAMIVIR PHOSPHATE,22,10,2,2,1,0.2,0.5,2.5,0.39,16.05
ERTAPENEM,53,6,9,1,4,0.1667,0.4444,2.67,0.39,18.42
ENCORAFENIB,281,19,13,8,5,0.4211,0.3846,0.91,0.38,2.17
OSIMERTINIB,477,23,40,3,7,0.1304,0.175,1.34,0.38,4.69
OMALIZUMAB,775,306,10,45,2,0.1471,0.2,1.36,0.38,4.84
CARBOPLATIN,1113,86,24,41,8,0.4767,0.3333,0.7,0.38,1.28
TIPIRACIL HYDROCHLORIDE\TRIFLURIDINE,104,7,4,2,2,0.2857,0.5,1.75,0.38,8.06
TOCILIZUMAB,505,88,31,43,10,0.4886,0.3226,0.66,0.38,1.15
SEBETRALSTAT,79,34,3,5,1,0.1471,0.3333,2.27,0.38,13.62
HYDRALAZINE HYDROCHLORIDE,86,4,10,3,6,0.75,0.6,0.8,0.37,1.71
IXEKIZUMAB,270,82,4,9,1,0.1098,0.25,2.28,0.37,13.86
ROZANOLIXIZUMAB,61,16,4,7,2,0.4375,0.5,1.14,0.37,3.53
QUETIAPINE FUMARATE,173,94,2,31,1,0.3298,0.5,1.52,0.37,6.24
OMEPRAZOLE,262,58,18,26,6,0.4483,0.3333,0.74,0.36,1.52
INCLISIRAN SODIUM,226,5,5,3,3,0.6,0.6,1,0.36,2.75
ASPIRIN,140,31,8,12,3,0.3871,0.375,0.97,0.36,2.63
INSULIN LISPRO,715,80,41,10,5,0.125,0.122,0.98,0.36,2.67
VORTIOXETINE,57,7,2,1,1,0.1429,0.5,3.5,0.36,34.33
DAPRODUSTAT,35,2,11,1,8,0.5,0.7273,1.45,0.35,6.09
ENALAPRIL,19,5,4,1,2,0.2,0.5,2.5,0.34,18.63
SULFAMETHOXAZOLE\TRIMETHOPRIM,173,57,7,30,3,0.5263,0.4286,0.81,0.33,1.98
DALBAVANCIN,11,3,3,1,2,0.3333,0.6667,2,0.33,11.97
ZILUCOPLAN,97,24,7,12,3,0.5,0.4286,0.86,0.33,2.2
EMICIZUMAB-KXWH,233,158,4,21,1,0.1329,0.25,1.88,0.33,10.75
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,326,22,6,6,2,0.2727,0.3333,1.22,0.33,4.58
IOPROMIDE,119,31,2,11,1,0.3548,0.5,1.41,0.33,6.1
RIPRETINIB,939,50,55,18,12,0.36,0.2182,0.61,0.33,1.13
BREXPIPRAZOLE,151,16,47,1,7,0.0625,0.1489,2.38,0.32,17.91
LANREOTIDE ACETATE,144,20,4,11,2,0.55,0.5,0.91,0.32,2.62
ATORVASTATIN,837,24,52,11,14,0.4583,0.2692,0.59,0.31,1.1
INSULIN GLARGINE,2166,161,115,13,7,0.0807,0.0609,0.75,0.31,1.83
DICLOFENAC,189,78,9,53,4,0.6795,0.4444,0.65,0.31,1.38
REVUMENIB CITRATE,80,22,2,8,1,0.3636,0.5,1.38,0.31,6.11
RIBOCICLIB SUCCINATE,343,41,8,9,2,0.2195,0.25,1.14,0.3,4.31
MESALAMINE,141,66,11,22,3,0.3333,0.2727,0.82,0.29,2.28
DARIDOREXANT,64,20,2,8,1,0.4,0.5,1.25,0.28,5.53
FERRIC CARBOXYMALTOSE,90,52,6,19,2,0.3654,0.3333,0.91,0.28,2.99
FRUQUINTINIB,336,26,6,9,2,0.3462,0.3333,0.96,0.28,3.36
LEVOTHYROXINE SODIUM,309,27,30,8,6,0.2963,0.2,0.68,0.27,1.7
OMADACYCLINE,29,5,2,1,1,0.2,0.5,2.5,0.27,23.36
ACALABRUTINIB,205,2,41,1,22,0.5,0.5366,1.07,0.26,4.42
ALBUTEROL SULFATE,491,78,29,4,2,0.0513,0.069,1.34,0.26,6.95
BALOXAVIR MARBOXIL,35,16,2,7,1,0.4375,0.5,1.14,0.26,5.09
RAMIPRIL,106,8,11,4,4,0.5,0.3636,0.73,0.26,2.07
INFLIXIMAB-DYYB,299,140,5,18,1,0.1286,0.2,1.56,0.26,9.46
LURASIDONE HYDROCHLORIDE,31,15,3,3,1,0.2,0.3333,1.67,0.25,11.07
TRIPTORELIN,30,6,2,2,1,0.3333,0.5,1.5,0.25,8.98
GUSELKUMAB,913,333,12,16,1,0.048,0.0833,1.73,0.25,12.03
TRAZODONE HYDROCHLORIDE,101,38,5,20,2,0.5263,0.4,0.76,0.25,2.32
CLONAZEPAM,100,43,3,11,1,0.2558,0.3333,1.3,0.24,6.99
TRALOKINUMAB-LDRM,426,145,15,5,1,0.0345,0.0667,1.93,0.24,15.48
TRIPTORELIN PAMOATE,62,6,11,3,4,0.5,0.3636,0.73,0.24,2.23
ELTROMBOPAG OLAMINE,28,7,5,3,2,0.4286,0.4,0.93,0.24,3.68
TREPROSTINIL SODIUM,78,7,4,5,2,0.7143,0.5,0.7,0.24,2.07
CORTICOTROPIN,1116,206,17,27,2,0.1311,0.1176,0.9,0.23,3.46
ETANERCEPT-SZZS,61,26,4,21,2,0.8077,0.5,0.62,0.23,1.68
RILZABRUTINIB,106,20,4,3,1,0.15,0.25,1.67,0.23,12.22
SUZETRIGINE,120,20,4,3,1,0.15,0.25,1.67,0.23,12.22
AZTREONAM LYSINE,50,21,2,11,1,0.5238,0.5,0.95,0.23,4.05
CILASTATIN SODIUM\IMIPENEM,23,4,2,1,1,0.25,0.5,2,0.22,17.89
RIFAMPIN,80,17,5,10,2,0.5882,0.4,0.68,0.22,2.14
